step_time,reward,total_stopped,total_wait_time
1910.0,0,1,144.0
1915.0,2,1,149.0
1920.0,2,1,154.0
1925.0,2,1,159.0
1930.0,-1,0,0.0
1935.0,-2,0,0.0
1940.0,0,0,0.0
1945.0,0,0,0.0
1950.0,0,0,0.0
1955.0,0,0,0.0
1960.0,0,0,0.0
1965.0,0,0,0.0
1970.0,0,0,0.0
1975.0,0,0,0.0
1980.0,0,0,0.0
1985.0,0,0,0.0
1990.0,0,0,0.0
1995.0,0,0,0.0
2000.0,0,0,0.0
2005.0,0,0,0.0
2010.0,0,0,0.0
2015.0,0,0,0.0
2020.0,0,0,0.0
2025.0,0,0,0.0
2030.0,0,0,0.0
2035.0,0,0,0.0
2040.0,0,0,0.0
2045.0,1,0,0.0
2050.0,1,0,0.0
2055.0,1,1,5.0
2060.0,1,1,10.0
2065.0,2,1,15.0
2070.0,1,0,0.0
2075.0,0,1,4.0
2080.0,2,1,9.0
2085.0,2,1,14.0
2090.0,-1,0,0.0
2095.0,-2,0,0.0
2100.0,0,0,0.0
2105.0,1,0,0.0
2110.0,1,0,0.0
2115.0,-1,0,0.0
2120.0,-1,0,0.0
2125.0,0,0,0.0
2130.0,0,0,0.0
2135.0,0,0,0.0
2140.0,0,0,0.0
2145.0,0,0,0.0
2150.0,0,0,0.0
2155.0,0,0,0.0
2160.0,0,0,0.0
2165.0,0,0,0.0
2170.0,0,0,0.0
2175.0,0,0,0.0
2180.0,1,0,0.0
2185.0,-1,0,0.0
2190.0,-1,0,0.0
2195.0,0,0,0.0
2200.0,0,0,0.0
2205.0,0,0,0.0
2210.0,0,0,0.0
2215.0,0,0,0.0
2220.0,0,0,0.0
2225.0,0,0,0.0
2230.0,0,0,0.0
2235.0,0,0,0.0
2240.0,0,0,0.0
2245.0,1,0,0.0
2250.0,1,0,0.0
2255.0,1,1,4.0
2260.0,1,1,9.0
2265.0,1,0,0.0
2270.0,0,0,0.0
2275.0,1,1,1.0
2280.0,0,0,0.0
2285.0,0,0,0.0
2290.0,1,0,0.0
2295.0,0,0,0.0
2300.0,1,0,0.0
2305.0,1,1,5.0
2310.0,1,1,10.0
2315.0,1,1,15.0
2320.0,1,1,20.0
2325.0,3,1,25.0
2330.0,3,1,30.0
2335.0,3,3,40.0
2340.0,3,3,55.0
2345.0,3,3,70.0
2350.0,3,3,85.0
2355.0,3,3,100.0
2360.0,3,3,115.0
2365.0,1,0,62.0
2370.0,-2,0,0.0
2375.0,-1,0,0.0
2380.0,2,0,0.0
2385.0,2,1,1.0
2390.0,2,2,11.0
2395.0,2,2,21.0
2400.0,2,2,31.0
2405.0,2,2,41.0
2410.0,2,2,51.0
2415.0,2,2,61.0
2420.0,2,2,71.0
2425.0,2,2,81.0
2430.0,3,2,91.0
2435.0,4,2,101.0
2440.0,3,3,112.0
2445.0,2,3,127.0
2450.0,3,3,142.0
2455.0,3,3,157.0
2460.0,3,3,172.0
2465.0,3,3,187.0
2470.0,3,3,202.0
2475.0,4,3,217.0
2480.0,4,3,232.0
2485.0,4,4,250.0
2490.0,4,4,270.0
2495.0,4,4,290.0
2500.0,4,4,310.0
2505.0,4,4,330.0
2510.0,4,4,350.0
2515.0,4,4,370.0
2520.0,4,4,390.0
2525.0,4,4,410.0
2530.0,4,4,430.0
2535.0,4,4,450.0
2540.0,4,4,470.0
2545.0,4,4,490.0
2550.0,4,4,510.0
2555.0,4,4,530.0
2560.0,5,4,550.0
2565.0,1,0,124.0
2570.0,-5,0,0.0
2575.0,-2,0,0.0
2580.0,0,0,0.0
2585.0,0,0,0.0
2590.0,0,0,0.0
2595.0,0,0,0.0
2600.0,0,0,0.0
2605.0,1,0,0.0
2610.0,1,0,0.0
2615.0,1,0,0.0
2620.0,0,0,0.0
2625.0,-1,0,0.0
2630.0,-1,0,0.0
2635.0,0,0,0.0
2640.0,0,0,0.0
